Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ATC;Antillean Confederation;;;;;;;;;;;;;
ATC_ADJ;Antillean;;;;;;;;;;;;;
PPG;Papua New Guinea;;;;;;;;;;;;;
PPG_ADJ;Papua New Guinean;;;;;;;;;;;;;
VTU;Vanuatu;;;;;;;;;;;;;
VTU_ADJ;Ni-Vanuatu;;;;;;;;;;;;;
SMO;Samoa;;;;;;;;;;;;;
SMO_ADJ;Samoan;;;;;;;;;;;;;
ROM_reactionary;Partidul National Roman;;;;;;;;;;;;;
ROM_reactionary_2;Partidul Nationalist-Democrat;;;;;;;;;;;;;
ROM_reactionary_3;Partidul Poporului;;;;;;;;;;;;;
ROM_conservative;Partidul Conservator;;;;;;;;;;;;;
ROM_conservative_2;Partidul Taranesc;;;;;;;;;;;;;
ROM_conservative_3;Partidul National Taranesc;;;;;;;;;;;;;
ROM_liberal;Fractionistii;;;;;;;;;;;;;
ROM_liberal_2;Partidul National Liberal;;;;;;;;;;;;;
ROM_anarcho_liberal;Partidul din Drepturile Omulu;;;;;;;;;;;;;
ROM_socialist;Partidul Social-Democrat;;;;;;;;;;;;;
ROM_communist;Partidul Comunist;;;;;;;;;;;;;
ROM_fascist;Garda de Fier;;;;;;;;;;;;;
ZBW;Zimbabwe;;;;;;;;;;;;;
ZBW_ADJ;Zimbabwean;;;;;;;;;;;;;
ZBW_liberal;United African National Council;;;;;;;;;;;;;
ZBW_conservative;Zimbabwe United People's Organisation;;;;;;;;;;;;;
ZBW_socialist;Zimbabwe African National Union;;;;;;;;;;;;;
ZBW_reactionary;Patriotic Front;;;;;;;;;;;;;
ZBW_anarcho_liberal;Radical Party of Zimbabwe;;;;;;;;;;;;;
ZBW_communist;Zimbabwe African People's Union;;;;;;;;;;;;;
ZBW_fascist;Fascist Party of Zimbabwe;;;;;;;;;;;;;
CMS;Comoros;;;;;;;;;;;;;
CMS_ADJ;Comorian;;;;;;;;;;;;;
