Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;;
gtfo_MNP_title;Grant Manipur Independence;;;;;;;;;;;;;
gtfo_MNP_desc;We've had a good run, but it's time to end our rulership of Manipur: if you love something, let it go!;;;;;;;;;;;;;
gtfo_BDK_title;Grant Badakhshan Independence;;;;;;;;;;;;;
gtfo_BDK_desc;We've had a good run, but it's time to end our rulership of Badakhshan: if you love something, let it go!;;;;;;;;;;;;;
gtfo_PGG_title;Grant Pingnan Guo Independence;;;;;;;;;;;;;
gtfo_PGG_desc;We've had a good run, but it's time to end our rulership of Pingnan Guo: if you love something, let it go!;;;;;;;;;;;;;
gtfo_SGM_title;Grant Sigmaringen Independence;;;;;;;;;;;;;
gtfo_SGM_desc;We've had a good run, but it's time to end our rulership of Sigmaringen: if you love something, let it go!;;;;;;;;;;;;;
gtfo_NMB_title;Grant Namibia Independence;;;;;;;;;;;;;
gtfo_NMB_desc;We've had a good run, but it's time to end our rulership of Namibia: if you love something, let it go!;;;;;;;;;;;;;
gtfo_TMR_title;Grant Timor Independence;;;;;;;;;;;;;
gtfo_TMR_desc;We've had a good run, but it's time to end our rulership of Timor: if you love something, let it go!;;;;;;;;;;;;;
gtfo_SLG_title;Grant Selangor Independence;;;;;;;;;;;;;
gtfo_SLG_desc;We've had a good run, but it's time to end our rulership of Selangor: if you love something, let it go!;;;;;;;;;;;;;
gtfo_PRK_title;Grant Perak Independence;;;;;;;;;;;;;
gtfo_PRK_desc;We've had a good run, but it's time to end our rulership of Perak: if you love something, let it go!;;;;;;;;;;;;;
gtfo_PHG_title;Grant Pahang Independence;;;;;;;;;;;;;
gtfo_PHG_desc;We've had a good run, but it's time to end our rulership of Pahang: if you love something, let it go!;;;;;;;;;;;;;
gtfo_FRO_title;Grant Faroe Independence;;;;;;;;;;;;;
gtfo_FRO_desc;We've had a good run, but it's time to end our rulership of Faroe: if you love something, let it go!;;;;;;;;;;;;;
gtfo_NCT_title;Grant Neuchatel Independence;;;;;;;;;;;;;
