Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#buildings.txt;;;;;;;;;;;;;;
aeroplane_factory;Aeroplane Factory;Usine d'avions;Flugzeugfabrik;;;;;;;;;;;
barrel_factory;Barrel Factory;Usine de chars;Geschützrohrfabrik;;;;;;;;;;;
automobile_factory;Automobile Factory;Usine d'automobiles;Automobilfabrik;;;;;;;;;;;
radio_factory;Radio Factory;Usine de radios;Radiofabrik;;;;;;;;;;;
telephone_factory;Telephone Factory;Usine de téléphones;Telefonfabrik;;;;;;;;;;;
electric_gear_factory;Electric Gear Factory;Usine de composants électriques;Elektroteilefabrik;;;;;;;;;;;
machine_parts_factory;Machine Parts Factory;Usine de pièces mécaniques;Maschinenteilefabrik;;;;;;;;;;;
steamer_shipyard;Steamer Shipyard;Chantier de construction de steamers;Dampferwerft;;;;;;;;;;;
clipper_shipyard;Clipper Shipyard;Chantier de construction de clippers;Klipperwerft;;;;;;;;;;;
artillery_factory;Steel Artillery Factory;;;;;;;;;;;;;
small_arms_factory;Small Arms Factory;Usine d'armes légères;Handfeuerwaffenfabrik;;;;;;;;;;;
explosives_factory;Explosives Factory;Usine d'explosifs;Sprengstofffabrik;;;;;;;;;;;
ammunition_factory;Ammunition Factory;Usine de munitions;Munitionsfabrik;;;;;;;;;;;
paper_mill;Paper Mill;Usine de papier;Papiermühle;;;;;;;;;;;
cement_factory;Cement Factory;Cimenterie;Betonfabrik;;;;;;;;;;;
glass_factory;Glass Factory;Verrerie;Glashütte;;;;;;;;;;;
fertilizer_factory;Fertilizer Factory;Usine d’engrais;Düngerfabrik;;;;;;;;;;;
luxury_clothes_factory;Luxury Clothes Factory;Usine de vêtements de luxe;Luxuskleiderfabrik;;;;;;;;;;;
luxury_furniture_factory;Luxury Furniture Factory;Usine de meubles de luxe;Luxusmöbelfabrik;;;;;;;;;;;
furniture_factory;Furniture Factory;Usine de meubles;Möbelfabrik;;;;;;;;;;;
winery;Winery;Exploitation vinicole;Winzerei;;;;;;;;;;;
bank;Bank;;;;;;;;;;;;;
bank_desc;Banking institutions are financial intermediaries that accept deposits and channel those deposits into lending activities, either directly or through capital markets.;;;;;;;;;;;;;
stock_exchange;Stock Exchange;;;;;;;;;;;;;
stock_exchange_desc;Stock exchanges provide a market for the brokerage and trade of stocks and secrities. They generally offer a wide range of different financial securities.;;;;;;;;;;;;;
Petrolium-based_powerplant;Petroleum-Based Power Plant;;;;;;;;;;;;;
Petrolium-based_powerplant_desc;As coal can be burned in a power plant to produce electricity, so can petroleum.;;;;;;;;;;;;;
fort;Fort;Fort;Fort;;;;;;;;;;;
naval_base;Naval Base;Base navale;Marinestützpunkt;;;;;;;;;;;
railroad;Railroad;Chemin de fer;Eisenbahn;;;;;;;;;;;
Coal-fired_powerplant;Coal-Fired Power Plant;;;;;;;;;;;;;
Coal-fired_powerplant_desc;Most of the world's electricity is produced by burning coal in boilers, producing steam which drives the turbines that generate electricity.;;;;;;;;;;;;;
Cigar_factory;Cigar Factory;;;;;;;;;;;;;
Cigar_factory_desc;Cigars still remain as a sign of luxury and stature since the discovery of tobacco in the Americas.;;;;;;;;;;;;;
Cigarette_factory;Cigarette Factory;;;;;;;;;;;;;
Cigarette_factory_desc;Since cigars are expensive to manufacture, cigarettes have sprung up as a cheaper alternative for the masses.;;;;;;;;;;;;;
shoe_factory;Shoe Factory;;;;;;;;;;;;;
shoe_factory_desc;With the Industrial Revolution, even age-old industries such as shoemaking have to secure a foothold in these turbulent times through standardization and assembly lines.;;;;;;;;;;;;;
boot_factory;Boot Factory;;;;;;;;;;;;;
boot_factory_desc;This factory turns leather and iron fittings into boots, which are prized by the rich as a luxury.;;;;;;;;;;;;;
wool_mill;Wool Mill;;;;;;;;;;;;;
wool_mill_desc;Wool was the traditional source of fabric until cotton was discovered during the Age of Sail. Despite this, wool is still widely used by the textile industry.;;;;;;;;;;;;;
fish_cannery;Fish Cannery;;;;;;;;;;;;;
fish_cannery_desc;Fish was a extremely perishable foodstuff until the advent of the Industrial Revolution and its preserving techniques. When the first fish canneries began production, fish became a more accessible and long-lasting commodity.;;;;;;;;;;;;;
bakery;Bakery;;;;;;;;;;;;;
bakery_desc;Bakeries have been the foundation of cities since time immemorial; without grain and bread, cities as we know them could not sustain their population.;;;;;;;;;;;;
stables;Stables;;;;;;;;;;;;;
stables_desc;Cavalry remains the majority of any modern nation's army. Thus methods of raising horses that are capable of being used in war is of vital importance.;;;;;;;;;;;;;
pharmaceutical_plant;Pharmaceutical Plant;;;;;;;;;;;;;
pharmaceutical_plant_desc;A plant in which modern medicines are created, must using opiates from eastern nations.;;;;;;;;;;;;;
rum_distillery;Rum Distillery;;;;;;;;;;;;;
rum_distillery_desc;A distillery used to turn sugar into rum, first created in the New World but which quickly spread to other countries as sugar became more prevalent.;;;;;;;;;;;;;
gunpowder_factory;Gunpowder Factory;;;;;;;;;;;;;
gunpowder_factory_desc;A factory used to create gunpowder for use in early firearms.;;;;;;;;;;;;;
bronze_artillery_factory;Bronze Artillery Factory;;;;;;;;;;;;;
bronze_artillery_factory_desc;An upgraded factory creating the most modern designs of bronze artillery.;;;;;;;;;;;;;
iron_artillery_factory;Iron Artillery Factory;;;;;;;;;;;;;
iron_artillery_factory_desc;An upgraded factory creating the most modern designs of iron artillery.;;;;;;;;;;;;;
fruit_cannery;Fruit Cannery;;;;;;;;;;;;;
fruit_cannery_desc;A factory in which fruit is preserved and canned for consumption elsewhere.;;;;;;;;;;;;;
bronze_factory;Bronze Factory;;;;;;;;;;;;;
bronze_factory_desc;A factory creating bronze alloy, most commonly used in artillery but also having applications in many other industries.;;;;;;;;;;;;;
early_small_arms_factory;Early Small Arms Factory;;;;;;;;;;;;;
early_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;;
late_small_arms_factory;Late Small Arms Factory;;;;;;;;;;;;;
late_small_arms_factory_desc;An upgraded factory creating the most modern designs of small arms.;;;;;;;;;;;;;
advanced_machine_parts_factory;Advanced Machine Parts Factory;;;;;;;;;;;;;
advanced_machine_parts_factory_desc;Machinery has become increasingly more sophisticated, and thus only specialized factories are able to produce the parts that are highly in demand.;;;;;;;;;;;;;
synthetic_rubber_factory;Synthetic Rubber Plant;;;;;;;;;;;;;
synthetic_rubber_factory_desc;A plant in which artificial rubber is produced, reducing the nation's reliance on natural sources.;;;;;;;;;;;;;
tropical_lumber_mill;Tropical Lumber Mill;;;;;;;;;;;;;
tropical_lumber_mill_desc;Harvesting lumber from tropical forest is a more complicated process, but results in a much wider variety of wood such as teak and mahogany.;;;;;;;;;;;;;
rubber_boot_factory;Rubber Boot Factory;;;;;;;;;;;;;
rubber_boot_factory_desc;Not merely making boots," these plants are used to produce a variety of clothing such as jackets, footwear and industrial protective gear.;;;;;;;;;;;;;
advanced_luxury_clothes_factory;Advanced Luxury Clothes Factory;;;;;;;;;;;;;
