Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
purchase_greenland_title;The Purchase of Greenland;;;;;;;;;;;;;
purchase_greenland_desc;Greenland is geographically closer to Arcadia than to Mainland Scandinavia, Surely it should belong to us for a good price?;;;;;;;;;;;;;
conquer_lusitania_title;Conquest of Lusitania;;;;;;;;;;;;;
conquer_lusitania_desc;In order to become the dominant power in the new world we must cut Gran Colombia down to size, quite literally;;;;;;;;;;;;;
gran_colombia_beacon_of_liberty_title;The Hispanic Beacon of Liberty;;;;;;;;;;;;;
gran_colombia_beacon_of_liberty_desc;We are now ready to throw our doors open to the souls trying to find a better life in the New World;;;;;;;;;;;;;
integrate_aimara_nan_title;Integration of the Aimaras;;;;;;;;;;;;;
integrate_aimara_nan_desc;Now we have secured the region, we can now begin to integrate the Aimara people into our society;;;;;;;;;;;;;
integrate_lotharin_nan_title;Integration of Lotharingia;;;;;;;;;;;;;
integrate_lotharin_nan_desc;The Lotharins, long supporters of our nations, are now a part of our nation. We must ensure their rights are guaranteed for the foreseeable future;;;;;;;;;;;;;
integrate_amazonie_nan_title;Integration of Amazonie;;;;;;;;;;;;;
integrate_amazonie_nan_desc;The people of Amazonie have been eager to embrace the ideas of Panamerigaism but struggled to accept it being under Beornia. However, they finally appear ready to embrace our Beornian ideals;;;;;;;;;;;;;
inc_save_patagonia_title;Ending the Beornian Incursions;;;;;;;;;;;;;
inc_save_patagonia_desc;Beornia has decided to claim the Patagonians lands for their own. We should save the natives and claim the lands for our own!;;;;;;;;;;;;;
empire_inca_3_title;Liberators of Afro-Amerigans;;;;;;;;;;;;;
empire_inca_3_desc;After securing Ameriga from Gran Colombia, our leader has decided we should liberate all former slaves from their oppressors!;;;;;;;;;;;;;
trinidad_purchase_title;Purchase of Trinidad;;;;;;;;;;;;;
trinidad_purchase_desc;The Isle of Trinidad lies just a short distance away from Tobago, maybe we can convince Gran Colombia to sell it to us for a small price?;;;;;;;;;;;;;
curaco_purchase_title;Purchase of Curacao and St. Jean;;;;;;;;;;;;;
curaco_purchase_desc;The Isles of Curacao and St. Jean are of no real significance to Burgundy, maybe they will part ways with them for a price?;;;;;;;;;;;;;
bermuda_purchase_title;Purchase of Bermuda;;;;;;;;;;;;;
bermuda_purchase_desc;Despite it's strategic location, the Isle of Bermuda has caused the previous owner problems due to the superstitions surrounding the so-called Bermuda Triangle, maybe we can rid them of their problems for a small fee?;;;;;;;;;;;;;
master_of_the_caribbean_title;Masters of the Caribbean;;;;;;;;;;;;;
master_of_the_caribbean_desc;Against all odds, we have united the Caribbean under New Courland! Whilst an impressive achievement, we could still do more though...;;;;;;;;;;;;;
greater_austral_destiny_title;The Greater Austral Destiny;;;;;;;;;;;;;
greater_austral_destiny_desc;We now occupy all our nearby islands, it's now time to proclaim our greatest ambitions!;;;;;;;;;;;;;
treaty_of_waitangi_gan_title;Treaty of Waitangi;;;;;;;;;;;;;
treaty_of_waitangi_gan_desc;Our Diplomats have managed to convince the Maori tribes to sign an unequal treaty. Let's act before they figure out how unequal it was!;;;;;;;;;;;;;
unite_the_chinese_diasporas_title;Unite the Chinese Diasporas!;;;;;;;;;;;;;
unite_the_chinese_diasporas_desc;The former Chinese colonies have a lot in common, maybe we should strive to unite these states under one banner?;;;;;;;;;;;;;
chinese_diasporas_united_title;Chinese Diasporas United!;;;;;;;;;;;;;
chinese_diasporas_united_desc;We have united the former colonies under one banner! May the future for all of us be prosperous;;;;;;;;;;;;;
dng_pacific_destiny_title;Our Place in the Sun;;;;;;;;;;;;;
dng_pacific_destiny_desc;We should seek to claim and integrate the isles of the pacific into our country for it is our mare nostrum!;;;;;;;;;;;;;
timor_purchase_title;Purchase of Timor;;;;;;;;;;;;;
timor_purchase_desc;The isles that compose the colony of Timor are likely of little strategic importance to the Europeans, maybe we could buy them in order to extend our reach into the Moluccas;;;;;;;;;;;;;
cooperation_with_qingqiu_title;Co-Operation with Qingqiu?;;;;;;;;;;;;;
