Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CRH;Confederation of the Morb;;;;;;;;;;;;;
CRH_ADJ;Morbinish;;;;;;;;;;;;;
CRH_proletarian_dictatorship;Commune of the Morb;;;;;;;;;;;;;
CRH_presidential_dictatorship;Morbish State;;;;;;;;;;;;;
CRH_fascist_dictatorship;Directorate of the Morb;;;;;;;;;;;;;
CRH_absolute_monarchy;Kingdom of the Morb;;;;;;;;;;;;;
ARP;Morbitania;;;;;;;;;;;;;
ARP_ADJ;Morbitan;;;;;;;;;;;;;
ARP_absolute_monarchy;Kingdom of Morbius;;;;;;;;;;;;;
ARP_prussian_constitutionalism;Kingdom of Morbius;;;;;;;;;;;;;
ARP_hms_government;Kingdom of Morbius;;;;;;;;;;;;;
ARP_proletarian_dictatorship;Morbing Commune;;;;;;;;;;;;;
ARP_fascist_dictatorship;Directorate of Morbius;;;;;;;;;;;;;
ARP_democracy;Morbitania;;;;;;;;;;;;;
HIS;Hispanic Commonwealth;;;;;;;;;;;;;
HIS_ADJ;Hispanic;;;;;;;;;;;;;
HIS_proletarian_dictatorship;Hispanic People's Union;;;;;;;;;;;;;
HIS_presidential_dictatorship;Hispania;;;;;;;;;;;;;
HIS_bourgeois_dictatorship;Hispania;;;;;;;;;;;;;
HIS_fascist_dictatorship;Hispanic Empire;;;;;;;;;;;;;
HIS_democracy;Hispanic Republic;;;;;;;;;;;;;
TRP;The Triple Monarchy;;;;;;;;;;;;;
TRP_ADJ;Anglois-Plantagent;;;;;;;;;;;;;
TRP_proletarian_dictatorship;The United Communes;;;;;;;;;;;;;
TRP_presidential_dictatorship;The Directorate of Paris-Londers-Orleans;;;;;;;;;;;;;
TRP_bourgeois_dictatorship;The Triple Republic;;;;;;;;;;;;;
TRP_fascist_dictatorship;The Empire;;;;;;;;;;;;;
TRP_democracy;The Triple Republic;;;;;;;;;;;;;
WSF;Zapadomorbia;;;;;;;;;;;;;
WSF_ADJ;West Morbic;;;;;;;;;;;;;
WSF_absolute_monarchy;Kingdom of Zapadomorbia;;;;;;;;;;;;;
WSF_prussian_constitutionalism;Kingdom of Zapadomorbia;;;;;;;;;;;;;
WSF_hms_government;Zapadomorbia;;;;;;;;;;;;;
WSF_proletarian_dictatorship;West Morbic People's Republic ;;;;;;;;;;;;;
WSF_fascist_dictatorship;Morbius Empire;;;;;;;;;;;;;
WSF_democracy;Zapadomorbia;;;;;;;;;;;;;
NSE;Morb Sea Empire;;;;;;;;;;;;;
NSE_ADJ;Morb Sea;;;;;;;;;;;;;
NSE_absolute_monarchy;Morb Sea Empire;;;;;;;;;;;;;
NSE_prussian_constitutionalism;Morb Sea Empire;;;;;;;;;;;;;
NSE_hms_government;Morb Sea Empire;;;;;;;;;;;;;
NSE_proletarian_dictatorship;Morb Sea Union;;;;;;;;;;;;;
NSE_fascist_dictatorship;Empire of the Morb;;;;;;;;;;;;;
NSE_democracy;Morb Sea Federation;;;;;;;;;;;;;
NSE_presidential_dictatorship;Morb Sea Empire;;;;;;;;;;;;;
BLT;Morbtic Empire;;;;;;;;;;;;;
BLT_ADJ;Morbtic;;;;;;;;;;;;;
BLT_absolute_monarchy;Morbtic Empire;;;;;;;;;;;;;
BLT_prussian_constitutionalism;Morbtic Empire;;;;;;;;;;;;;
BLT_hms_government;Morbtic Empire;;;;;;;;;;;;;
BLT_proletarian_dictatorship;Morbtic Socialist Union;;;;;;;;;;;;;
BLT_fascist_dictatorship;Morbtic Imperium;;;;;;;;;;;;;
BLT_democracy;Morbtic Federation;;;;;;;;;;;;;
BLT_presidential_dictatorship;Greater Morbseatic League;;;;;;;;;;;;;
SCA;Scandimorbia;;;;;;;;;;;;;
SCA_ADJ;Scandimorbian;;;;;;;;;;;;;
DUA;The Dual Morbarchy;;;;;;;;;;;;;
DUA_ADJ;Anglo-Morbian;;;;;;;;;;;;;
ARA;Morbagon;;;;;;;;;;;;;
ARA_ADJ;Morbagonese;;;;;;;;;;;;;
CLM;Gran Colmorbia;;;;;;;;;;;;;
CLM_ADJ;Colmorbian;;;;;;;;;;;;;
BOH;Morbhemia;;;;;;;;;;;;;
BOH_ADJ;Morbhemian;;;;;;;;;;;;;
BRG;Morgundy;;;;;;;;;;;;;
BRG_ADJ;Morbgundian;;;;;;;;;;;;;
CAE;The Morbian Confederation;;;;;;;;;;;;;
CAE_ADJ;Morbian;;;;;;;;;;;;;
MUS;Morbscovy;;;;;;;;;;;;;
MUS_ADJ;Morbscovian;;;;;;;;;;;;;
PLC;Morbish-Morbanian Commonwealth;;;;;;;;;;;;;
PLC_ADJ;Morbish-Morbanian;;;;;;;;;;;;;
PROV255;Morbiusderry;;;;;;;;;;;;;
PROV1657;Morbyoto;;;;;;;;;;;;;
PROV1479;Morbden;;;;;;;;;;;;;
PROV860;Morbstantinople;;;;;;;;;;;;;
PROV552;Morbius;;;;;;;;;;;;;
PROV550;Morbzlau;;;;;;;;;;;;;
PROV372;Morbenhagen;;;;;;;;;;;;;
PROV379;Morbhoven;;;;;;;;;;;;;
PROV436;Le Morb;;;;;;;;;;;;;
PROV498;Morbcelona;;;;;;;;;;;;;
PROV706;Morbsaw;;;;;;;;;;;;;
PROV942;Morbzyr;;;;;;;;;;;;;
PROV1008;Morbscow;;;;;;;;;;;;;
PROV1616;Morbtian;;;;;;;;;;;;;
